release_siteid1,species,zoo,release_date,exposed,unexposed,source
10101,rasi,sfz,2023-08-28,10,15,recovering
10102,rasi,sfz,2022-07-21,36,38,"recovering, persisting"
10102,rasi,sfz,2023-08-28,13,12,recovering
10109,rasi,sfz,2022-07-21,38,38,recovering
10109,rasi,sfz,2023-08-28,27,31,recovering
10114,rasi,sfz,2022-07-21,33,35,recovering
10114,rasi,sfz,2023-08-28,33,25,recovering
10277,ramu,ucsb,2013-09-04,22,10,naive
10285,ramu,ucsb,2013-09-04,22,10,naive
10315,ramu,ucsb,2013-09-04,23,10,naive
10319,ramu,oaz,2017-08-24,13,6,persisting
10319,ramu,sfz,2017-08-24,9,8,persisting
10421,ramu,oaz,2016-07-18,17,7,epizootic
10421,ramu,sfz,2016-07-18,17,7,epizootic
10421,ramu,oaz,2017-08-15,8,5,epizootic
10421,ramu,sfz,2017-08-15,8,4,epizootic
11858,rasi,sfz,2023-08-28,12,14,recovering
20135,ramu,oaz,2016-07-18,13,6,persisting
20135,ramu,sfz,2016-07-18,45,18,persisting
20135,ramu,oaz,2017-08-15,6,3,persisting
20135,ramu,sfz,2017-08-15,25,8,persisting
20196,ramu,oaz,2017-08-24,22,9,
20196,ramu,sfz,2017-08-24,22,14,
20196,ramu,oaz,2018-07-27,10,4,
20196,ramu,sfz,2018-07-27,6,2,
20198,ramu,oaz,2017-08-24,9,4,
20198,ramu,oaz,2018-07-27,9,4,
20198,ramu,sfz,2018-07-27,6,3,
20199,ramu,oaz,2017-08-24,9,4,
20276,ramu,oaz,2022-07-21,35,38,
20276,ramu,oaz,2023-08-28,34,35,
22008,ramu,oaz,2016-07-18,7,3,
22008,ramu,sfz,2016-07-18,22,10,
22008,ramu,sfz,2017-08-15,13,4,
50183,rasi,oaz,2022-09-16,6,6,
50183,rasi,oaz,2023-09-09,14,14,
50785,ramu,oaz,2019-07-16,39,43,
84235,rasi,sfz,2014-06-16,20,15,
84235,rasi,sfz,2015-06-15,20,15,
84313,rasi,sfz,2015-06-15,38,24,
84313,rasi,sfz,2016-07-12,41,22,
